REFID	TITLE	SUBTITLE	AUTHORS	COVER	YEAR1STPUB
9390	The Barefoot Channel	Community Television as a Tool for Social Change	Goldberg, Kim	BC9390-BarefootChannelnew.jpg	1990
9394	The Canadian City		Gerecke, Kent	BC9394-TheCanadianCity.jpg	1991
9397	Relentless Persistence	Nonviolent Action in Latin America	McManus, Philip and  Schlabach, Gerald (ed.)	BC9397-RelentlessPersistence.jpg	1991
9402	Environmental Resource Book			BC9402s-EnvironmentResource.jpg	1992
9404	Transport Policy and the Environment	Six Case Studies	Barde, Jean-Philippe; Button, Kenneth	BC9404-TransportPolicy.jpg	1990
9407	Land and Community	Crisis in Canada's Countryside	Sim, R. Alex	BC9407-LandCommunity.jpg	1988
9410	The Earthscan Action Handbook		Litvinoff, Miles	BC9410-TheEarthScan.jpg	1990
9412	The Rising Seas		Ince, Martin	BC9412-TheRisingSeas.jpg	1990
9430	Turtle Talk	Voices for a Sustainable Future	Plant, Christopher; Plant, Judith	BC9090-TurtleTalk.jpg	1990
9431	The Unmaking of Canada	The Hidden Theme in Canadian History since 1945	Chodos, Robert, Murphy, Rae, Hamovitch, Eric	BC9431s-UnmakingCanada.jpg	1991
9435	Guide to Federal Programs and Services	10th Edition - 1990		BC9436-FederalPrograms1990.jpg	1990
9437	Money Making Marketing	Finding the People Who Need What You're Selling and Making Sure They Buy It	Lant, Dr. Jeffrey	BC9437-MoneyMaking.jpg	1991
9457	Drawing the Line	Lesbian Sexual Politics on the Wall	Stewart, Susan; Blackridge, Persimmon; Jones, Lizard	BC9457s-DrawingTheLine.jpg	
9462	Fighting for Hope	Organizing to Realize Our Dreams	Kuyek, Joan Newman	BC9462-FightingForHope.jpg	1990
9465	Fresh Water Seas	Saving the Great Lakes	Weller, Phil	BC9465-FreshWaterSeas.jpg	1990
9469	The Gender of Breadwinners	Women, Men and Change in Two Industrial Towns 1880-1950	Parr, Joy	BC9469-TheGenderOfBr.jpg	1990
9470	Getting Publicity	A Do-It-Yourself Guide for Small Business and Non-Profit Groups	Fletcher,Tana and  Rockler, Julia	BC9470-GettingPublicity.jpg	1990
9472	Green Business: Hope or Hoax?	Toward an Authentic Strategy for Restoring the Earth	Plant, Christopher,  Plant, Judith	BC9472-GreenBusinessHoax.jpg	1991
9477	Home!	A Bioregional Reader	Andruss, Van,  Plant, Christopher,  Plant, Judith,  Wright, Eleanor	BC9477-HomeBioregional.jpg	1990
9480	In Russian and French Prisons		Kropotkin, Peter	BL0971-PeterKropotkin.jpg	1906
9483	Libraries, Erotica & Pornography		Cornog, Martha (ed.)	BC9483-LibrariesErotica.jpg	1991
9484	The Masks of Proteus	Canadian Reflections on the State	Resnick, Philip	BC9484s-MasksProteus.jpg	1990
9486	New Options for America		Satin, Mark	BC9486-NewOptionsFor.jpg	1991
9493	Russian Literature	Ideals and Realities	Kropotkin, Peter	BL0971-PeterKropotkin.jpg	1991
9495	Sexual Anarchy		Showalter, Elaine	BC9495s-SexualAnarchy.jpg	1990
9515	How to Start a Co-operative		Reed, J.E.	BC9515-HowToStartACoop.jpg	1982
9518	Flaunting It!		Jackson, Ed; Perksy, Stan (eds.)	BC9518-FlauntingIt.jpg	1982
9528	Ah-Hah!	A New Approach to Popular Education		BC9528-AhHah.jpg	1983
9529	Getting There	Producing Photostories With Immigrant Women	Barndt, Deborah, Cristall, Ferne, Marino, Dian	BC9529-GettingThere.jpg	1983
