ID	ImageNum	Title	Filename	OriginalFilename	Author	Year1stPub	BildSource	Caption	ELibrary	CXDatabase	SourcesDB	Ullibrary	Nix	Marked	Publishist	Format	SoFRefID	SoFDate
192	BL1092	Red Menace movie poster	BL0192-RedMenaceMovie					Red Menace movie poster		True						PHO		
193	BL0193	Red Menace poster	BL0193-RedMenacePoster					Red Menace poster		True						PHO		
194	BL0194	Karl Marx in 1839	BL0194-Marx1839km1			1839		Karl Marx in 1839		True						PHO		
195	BL0195	Karl Marx in 1861	BL0195-Marcx1861km1			1861		Karl Marx in 1861		True						PHO		
196	BL0196	Karl Marx in 1861, standing	BL0196-Marx1861km2			1861		Karl Marx in 1861, standing		True						PHO		
197	BL0197	Karl Marx in 1869	BL0197-Marx1869km1			1869		Karl Marx in 1869		True						PHO		
198	BL0198	Karl Marx in 1872	BL0198-Marx1872km1			1872		Karl Marx in 1872		True						PHO		
199	BL0199	Karl Marx in 1875	BL0199-Marx1875			1875		Karl Marx in 1875		True						PHO		
200	BL0200	Poster for Marx in Soho	BL0200-MarxinSoho			2006		Poster for Marx in Soho		True						PHO		
201	BL0201	New Orleans flooded	BL0201-NewOrleans01			2005		New Orleans flooded								PHO		
202	BL0202	New Orleans flooded with taxi and people on people on raised spot	BL0202-NewOrleans03			2005		New Orleans flooded with taxi and people on people on raised spot								PHO		
203	BL0203	New Orleans flooded with expressway	BL0203-NewOrleans03			2005		New Orleans flooded with expressway								PHO		
204	BL0204	New Orleans flooded with expressway cloverleaf	BL0204-NewOrleans04			2005		New Orleans flooded with expressway cloverleaf								PHO		
205	BL0205	New Orelans flooded	BL0205-NewOrleans05			2005		New Orelans flooded								PHO		
206	BL0206	Weekend Special: French Toast and Worms	BL0206-WeekendSpecial					Weekend Special: French Toast and Worms								PHO		
207	BL0207	No Intelliegent Life ad for Toyota SUV	BL0207-NoIntelligentLife					No Intelliegent Life ad for Toyota SUV								PHO		
208	BL0208	Windows Hidden Settings graphic	BL0208-Windows1					Windows Hidden Settings graphic		True						PHO		
209	BL0209	Windows Help graphic	BL0209-Windows2					Windows Help graphic		True						PHO		
210	BL0210	Windows suicide Help graphic	BL0210-Windows3					Windows suicide Help graphic		True						PHO		
211	BL0211	Swaziland dancers	BL0211-Swazi					Swaziland dancers								PHO		
212	BL0212	CAJ sample press card	BL0212-CAJPressCard-Front					CAJ sample press card								PHO		
213	BL0213	Press card	BL0213-Press					Press card								PHO		
214	BL0214	Press card	BL0214-Press_card					Press card								PHO		
215	BL0215	Press card	BL0215-Press-card					Press card								PHO		
